Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,250,67,0,2301,332.73,100.000%,.17848,0.39,0.00,2234.8
TOTAL,250,67,0,2301,332.73,100.000%,.17848,0.39,0.00,2234.8
