Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,433,296,1196,167.79,0.000%,4.94721,7.33,0.55,1518.0
TOTAL,500,433,296,1196,167.79,0.000%,4.94721,7.33,0.55,1518.0
